reaction,gene,flux
rxn05464_c0,ACIAD_RS14075,0.04157577294660037
rxn14333_c0,ACIAD_RS06335,0.006721450147614107
rxn01964_c0,ACIAD_RS02905,0.009545555656086393
rxn01964_c0,ACIAD_RS02930,0.009545555656086393
rxn02341_c0,ACIAD_RS14115,0.000670500654293467
rxn01137_c0,ACIAD_RS05730,0.0020115019628797774
rxn03182_c0,ACIAD_RS15740,0.006721450147614163
rxn00224_c0,ACIAD_RS14755,0.00033525032714662976
rxn01513_c0,ACIAD_RS11770,0.001317034185699687
rxn05333_c0,ACIAD_RS06370,0.07518302368467121
rxn00209_c0,ACIAD_RS15830,0.00033525032714662976
rxn02474_c0,ACIAD_RS01165,-0.0006705006542932595
rxn04783_c0,ACIAD_RS09530,0.0036877535986129285
rxn01019_c0,ACIAD_RS06300,0.04988903616482887
rxn00525_c0,ACIAD_RS10180,0.024739453938461838
rxn02914_c0,ACIAD_RS12035,-0.2707207808828642
rxn01603_c0,ACIAD_RS02940,0.0010057509814398896
rxn00686_c0,ACIAD_RS02330,-0.002322785167139576
rxn09232_c0,ACIAD_RS14100,0.0003352503271466297
rxn06075_c0,ACIAD_RS03315,-0.001317034185699687
rxn06075_c0,ACIAD_RS03320,-0.001317034185699687
rxn01973_c0,ACIAD_RS03630,0.06444504614338181
rxn00117_c0,ACIAD_RS02530,0.06155961972618753
rxn05343_c0,ACIAD_RS04060,0.07518302368467121
rxn05343_c0,ACIAD_RS02645,0.07518302368467121
rxn05343_c0,ACIAD_RS09640,0.07518302368467121
rxn05343_c0,ACIAD_RS02575,0.07518302368467121
rxn01520_c0,ACIAD_RS02335,0.001317034185699687
rxn03395_c0,ACIAD_RS00225,0.00033525032714662976
rxn00330_c0,ACIAD_RS10675,-2.070101842965365
rxn03445_c0,ACIAD_RS12035,-0.0003352503271466298
rxn11663_c0,ACIAD_RS13590,0.00033525032714662987
rxn00493_c0,ACIAD_RS03070,-0.031248186911905448
rxn00493_c0,ACIAD_RS11695,-0.031248186911905448
rxn00493_c0,ACIAD_RS16070,-0.031248186911905448
rxn00493_c0,ACIAD_RS00525,-0.031248186911905448
rxn00293_c0,ACIAD_RS16175,0.026885800590456546
rxn14011_c0,ACIAD_RS06335,0.006721450147614107
rxn00839_c0,ACIAD_RS02530,0.001317034185699687
rxn15021_c0,ACIAD_RS14015,-0.14781614161698367
rxn15021_c0,ACIAD_RS14010,-0.14781614161698367
rxn00154_c0,ACIAD_RS14215,5.045608057831201
rxn00154_c0,ACIAD_RS15860,5.045608057831201
rxn00154_c0,ACIAD_RS15855,5.045608057831201
rxn15466_c0,ACIAD_RS14005,-0.14781614161698367
rxn14422_c0,ACIAD_RS11100,7.923733269504771
rxn14422_c0,ACIAD_RS11095,7.923733269504771
rxn14422_c0,ACIAD_RS11090,7.923733269504771
rxn14422_c0,ACIAD_RS11085,7.923733269504771
rxn08475_c0,ACIAD_RS01265,-0.001341001308586519
rxn08173_c0,ACIAD_RS00830,14.329357626297938
rxn08173_c0,ACIAD_RS00850,14.329357626297938
rxn08173_c0,ACIAD_RS00860,14.329357626297938
rxn08173_c0,ACIAD_RS00840,14.329357626297938
rxn08173_c0,ACIAD_RS00855,14.329357626297938
rxn08173_c0,ACIAD_RS00845,14.329357626297938
rxn08173_c0,ACIAD_RS00870,14.329357626297938
rxn08173_c0,ACIAD_RS00835,14.329357626297938
rxn08173_c0,ACIAD_RS00865,14.329357626297938
rxn14421_c0,ACIAD_RS11100,7.923733269504771
rxn14421_c0,ACIAD_RS11095,7.923733269504771
rxn14421_c0,ACIAD_RS11090,7.923733269504771
rxn14421_c0,ACIAD_RS11085,7.923733269504771
rxn39451_c0,ACIAD_RS16370,-0.06444504614338181
rxn43581_c0,ACIAD_RS02550,-0.08198195947527429
rxn08241_c0,ACIAD_RS01870,-0.0003352503271466298
rxn08241_c0,ACIAD_RS14690,-0.0003352503271466298
rxn15467_c0,ACIAD_RS05825,0.14781614161698367
rxn15467_c0,ACIAD_RS16430,0.14781614161698367
rxn14061_c0,ACIAD_RS06335,0.006721450147614107
rxn13957_c0,ACIAD_RS06335,0.006721450147614107
rxn40037_c0,ACIAD_RS16220,0.06444504614338181
rxn19704_c0,ACIAD_RS03420,-0.08198195947527429
rxn19704_c0,ACIAD_RS00245,-0.08198195947527429
rxn19704_c0,ACIAD_RS10275,-0.08198195947527429
rxn19704_c0,ACIAD_RS05555,-0.08198195947527429
rxn19704_c0,ACIAD_RS04510,-0.08198195947527429
DgoA,DgoA,0.06754469846933348
